DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,1995,236843,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,1996,231613,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,1997,207816,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,1998,205260,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,1999,198479,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,2000,190691,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,2001,185717,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,2002,183428,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,2003,176754,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,2004,171090,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,2005,169549,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,2006,171882,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,2007,176184,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,2008,181091,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,2009,188080,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,2010,208215,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,2011,209001,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,2012,200653,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,2013,188798,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,2014,188659,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,2015,179670,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,2016,182024,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,2017,180601,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,2018,187153,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,2019,196578,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,2020,188469,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,2021,180729,bep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,2022,170854,ep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,F,PL,2023,162160,ep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,1995,249292,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,1996,242225,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,1997,219376,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,1998,217776,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,1999,210069,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,2000,201419,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,2001,195201,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,2002,193162,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,2003,185774,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,2004,181325,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,2005,179469,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,2006,182341,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,2007,186258,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,2008,191558,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,2009,198501,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,2010,218553,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,2011,219532,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,2012,212183,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,2013,200026,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,2014,199897,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,2015,189704,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,2016,192687,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,2017,190593,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,2018,197280,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,2019,207237,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,2020,199873,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,2021,190915,bep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,2022,179949,ep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,M,PL,2023,170830,ep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,1995,486135,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,1996,473838,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,1997,427192,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,1998,423036,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,1999,408548,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,2000,392110,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,2001,380918,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,2002,376590,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,2003,362528,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,2004,352415,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,2005,349018,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,2006,354223,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,2007,362442,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,2008,372649,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,2009,386581,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,2010,426768,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,2011,428533,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,2012,412836,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,2013,388824,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,2014,388556,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,2015,369374,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,2016,374711,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,2017,371194,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,2018,384433,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,2019,403815,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,2020,388342,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,2021,371644,bep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,2022,350803,ep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,PL,2023,332990,ep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,1995,333064,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,1996,323215,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,1997,302962,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,1998,287496,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,1999,280621,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,2000,271484,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,2001,268531,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,2002,261162,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,2003,247117,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,2004,236290,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,2005,227422,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,2006,214519,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,2007,207825,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,2008,198285,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,2009,190174,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,2010,184394,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,2011,182662,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,2012,177657,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,2013,171230,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,2014,169513,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,2015,171915,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,2016,177939,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,2017,184616,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,2018,194390,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,2019,208065,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,2020,209206,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,2021,198109,bep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,2022,187370,ep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,F,PL,2023,188727,ep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,1995,348859,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,1996,336233,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,1997,315779,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,1998,303477,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,1999,294628,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,2000,285358,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,2001,281556,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,2002,274654,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,2003,258297,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,2004,247143,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,2005,236645,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,2006,224092,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,2007,218677,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,2008,208420,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,2009,200730,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,2010,193811,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,2011,192293,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,2012,187071,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,2013,180517,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,2014,178335,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,2015,181762,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,2016,187058,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,2017,194383,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,2018,204475,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,2019,218300,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,2020,219637,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,2021,209563,bep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,2022,198340,ep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,M,PL,2023,199872,ep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,1995,681923,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,1996,659448,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,1997,618741,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,1998,590973,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,1999,575249,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,2000,556842,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,2001,550087,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,2002,535816,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,2003,505414,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,2004,483433,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,2005,464067,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,2006,438611,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,2007,426502,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,2008,406705,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,2009,390904,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,2010,378205,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,2011,374955,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,2012,364728,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,2013,351747,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,2014,347848,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,2015,353677,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,2016,364997,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,2017,378999,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,2018,398865,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,2019,426365,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,2020,428843,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,2021,407672,bep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,2022,385710,ep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y10,T,PL,2023,388599,ep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,1995,342790,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,1996,332805,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,1997,323037,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,1998,302831,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,1999,287370,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,2000,279821,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,2001,271377,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,2002,268486,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,2003,261091,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,2004,247052,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,2005,236247,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,2006,227366,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,2007,214381,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,2008,207695,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,2009,198167,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,2010,189435,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,2011,184319,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,2012,182576,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,2013,177544,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,2014,171004,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,2015,169388,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,2016,171781,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,2017,177937,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,2018,184590,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,2019,194410,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,2020,208141,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,2021,200612,bep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,2022,198117,ep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,F,PL,2023,187512,ep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,1995,356582,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,1996,348567,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,1997,336010,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,1998,315584,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,1999,303307,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,2000,292731,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,2001,285259,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,2002,281509,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,2003,274552,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,2004,258218,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,2005,247079,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,2006,236578,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,2007,223921,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,2008,218535,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,2009,208303,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,2010,200135,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,2011,193735,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,2012,192191,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,2013,186966,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,2014,180332,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,2015,178181,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,2016,181650,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,2017,187048,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,2018,194332,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,2019,204564,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,2020,218318,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,2021,210572,bep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,2022,209562,ep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,M,PL,2023,198492,ep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,1995,699372,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,1996,681372,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,1997,659047,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,1998,618415,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,1999,590677,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,2000,572552,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,2001,556636,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,2002,549995,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,2003,535643,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,2004,505270,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,2005,483326,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,2006,463944,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,2007,438302,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,2008,426230,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,2009,406470,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,2010,389570,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,2011,378054,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,2012,374767,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,2013,364510,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,2014,351336,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,2015,347569,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,2016,353431,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,2017,364985,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,2018,378922,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,2019,398974,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,2020,426459,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,2021,411184,bep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,2022,407679,ep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y11,T,PL,2023,386004,ep
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y12,F,PL,1995,333754,
